Table 5 - Regional level employment by 2 & 3 digit SIC 2007 (Public/Private Split),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,East Midlands,,,,,,,,,Reference year 2010 Thousands ,,,,,,,,,,,,,,,
2 SIC,3 SIC,Full time employees,,,Part time employees,,,Total employees,,,Total employment,,,,,,,,,,,,,,,
,,Public,Private,All,Public,Private,All,Public,Private,All,Public,Private,All,,,,,,,,,,,,,
01*,,-,13.5,13.5,-,3.3,3.3,-,16.8,16.8,-,37.1,37.1,,,,,,,,,,,,,
,016,-,1.5,1.5,-,-,-,-,1.5,1.5,-,1.8,1.8,,,,,,,,,,,,,
,017,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
02,,*,*,0.3,*,*,-,*,*,0.3,*,*,0.5,,,,,,,,,,,,,
,021,*,*,0.2,*,*,-,*,*,0.3,*,*,0.3,,,,,,,,,,,,,
,022,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,023,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,024,-,0.1,0.1,-,-,-,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,
03,,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,031,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,032,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
05,,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,051,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,052,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
06,,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,061,-,*,*,-,*,*,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,
,062,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
07,,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,071,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,072,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
08,,-,2.0,2.0,-,0.1,0.1,-,2.1,2.1,-,2.2,2.2,,,,,,,,,,,,,
,081,-,1.9,1.9,-,0.1,0.1,-,1.9,1.9,-,2.0,2.0,,,,,,,,,,,,,
,089,-,0.2,0.2,-,-,-,-,0.2,0.2,-,0.2,0.2,,,,,,,,,,,,,
09,,-,*,*,-,*,*,-,0.3,0.3,-,0.3,0.3,,,,,,,,,,,,,
,091,-,*,*,-,*,*,-,0.3,0.3,-,0.3,0.3,,,,,,,,,,,,,
,099,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
10,,*,*,46.5,*,*,4.6,*,*,51.1,*,*,51.5,,,,,,,,,,,,,
,101,-,10.0,10.0,-,0.8,0.8,-,10.7,10.7,-,10.8,10.8,,,,,,,,,,,,,
,102,-,*,*,-,*,*,-,0.2,0.2,-,0.2,0.2,,,,,,,,,,,,,
,103,-,6.2,6.2,-,0.2,0.2,-,6.5,6.5,-,6.5,6.5,,,,,,,,,,,,,
,104,-,*,*,-,*,*,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,
,105,-,1.3,1.3,-,0.2,0.2,-,1.4,1.4,-,1.4,1.4,,,,,,,,,,,,,
,106,-,2.2,2.2,-,0.1,0.1,-,2.3,2.3,-,2.3,2.3,,,,,,,,,,,,,
,107,-,9.8,9.8,-,1.4,1.4,-,11.2,11.2,-,11.4,11.4,,,,,,,,,,,,,
,108,*,*,14.6,*,*,1.6,*,*,16.1,*,*,16.2,,,,,,,,,,,,,
,109,-,2.2,2.2,-,0.4,0.4,-,2.6,2.6,-,2.6,2.6,,,,,,,,,,,,,
11,,-,1.5,1.5,-,0.1,0.1,-,1.6,1.6,-,1.6,1.6,,,,,,,,,,,,,
,110,-,1.5,1.5,-,0.1,0.1,-,1.6,1.6,-,1.6,1.6,,,,,,,,,,,,,
12,,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,120,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
13,,-,7.5,7.5,-,1.5,1.5,-,9.0,9.0,-,9.2,9.2,,,,,,,,,,,,,
,131,-,0.1,0.1,-,-,-,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,
,132,-,0.3,0.3,-,-,-,-,0.3,0.3,-,0.3,0.3,,,,,,,,,,,,,
,133,-,1.5,1.5,-,0.4,0.4,-,2.0,2.0,-,2.0,2.0,,,,,,,,,,,,,
,139,-,5.6,5.6,-,1.0,1.0,-,6.6,6.6,-,6.7,6.7,,,,,,,,,,,,,
14,,-,5.0,5.0,-,6.7,6.7,-,11.7,11.7,-,13.2,13.2,,,,,,,,,,,,,
,141,-,3.4,3.4,-,4.9,4.9,-,8.3,8.3,-,9.5,9.5,,,,,,,,,,,,,
,142,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,143,-,1.6,1.6,-,1.7,1.7,-,3.3,3.3,-,3.8,3.8,,,,,,,,,,,,,
15,,-,1.7,1.7,-,0.2,0.2,-,1.9,1.9,-,1.9,1.9,,,,,,,,,,,,,
,151,-,0.2,0.2,-,-,-,-,0.2,0.2,-,0.2,0.2,,,,,,,,,,,,,
,152,-,1.5,1.5,-,0.2,0.2,-,1.8,1.8,-,1.8,1.8,,,,,,,,,,,,,
16,,-,5.8,5.8,-,0.2,0.2,-,6.0,6.0,-,6.0,6.0,,,,,,,,,,,,,
,161,-,0.5,0.5,-,-,-,-,0.5,0.5,-,0.5,0.5,,,,,,,,,,,,,
,162,-,5.3,5.3,-,0.2,0.2,-,5.5,5.5,-,5.5,5.5,,,,,,,,,,,,,
17,,-,5.9,5.9,-,0.2,0.2,-,6.1,6.1,-,6.1,6.1,,,,,,,,,,,,,
,171,-,0.1,0.1,-,-,-,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,
,172,-,5.7,5.7,-,0.2,0.2,-,6.0,6.0,-,6.0,6.0,,,,,,,,,,,,,
18,,-,7.3,7.3,-,2.2,2.2,-,9.5,9.5,-,10.1,10.1,,,,,,,,,,,,,
,181,-,7.3,7.3,-,2.2,2.2,-,9.4,9.4,-,10.1,10.1,,,,,,,,,,,,,
,182,-,-,-,-,-,-,-,-,-,-,0.1,0.1,,,,,,,,,,,,,
19,,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,191,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,192,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
20,,-,8.1,8.1,-,0.9,0.9,-,8.9,8.9,-,8.9,8.9,,,,,,,,,,,,,
,201,-,2.1,2.1,-,0.3,0.3,-,2.3,2.3,-,2.3,2.3,,,,,,,,,,,,,
,202,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,203,-,1.2,1.2,-,0.1,0.1,-,1.3,1.3,-,1.3,1.3,,,,,,,,,,,,,
,204,-,2.6,2.6,-,0.2,0.2,-,2.8,2.8,-,2.8,2.8,,,,,,,,,,,,,
,205,-,1.5,1.5,-,0.2,0.2,-,1.8,1.8,-,1.8,1.8,,,,,,,,,,,,,
,206,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
21,,*,*,2.0,*,*,0.2,*,*,2.3,*,*,2.3,,,,,,,,,,,,,
,211,-,*,*,-,*,*,-,0.3,0.3,-,0.3,0.3,,,,,,,,,,,,,
,212,*,*,*,*,*,*,*,*,2.0,*,*,2.0,,,,,,,,,,,,,
22,,-,18.6,18.6,-,0.8,0.8,-,19.4,19.4,-,19.7,19.7,,,,,,,,,,,,,
,221,-,2.3,2.3,-,0.1,0.1,-,2.4,2.4,-,2.4,2.4,,,,,,,,,,,,,
,222,-,16.2,16.2,-,0.7,0.7,-,17.0,17.0,-,17.3,17.3,,,,,,,,,,,,,
23,,-,12.5,12.5,-,1.1,1.1,-,13.6,13.6,-,14.7,14.7,,,,,,,,,,,,,
,231,-,1.7,1.7,-,0.2,0.2,-,1.8,1.8,-,2.1,2.1,,,,,,,,,,,,,
,232,-,0.9,0.9,-,0.1,0.1,-,0.9,0.9,-,1.0,1.0,,,,,,,,,,,,,
,233,-,0.9,0.9,-,0.1,0.1,-,0.9,0.9,-,1.0,1.0,,,,,,,,,,,,,
,234,-,0.7,0.7,-,0.2,0.2,-,0.9,0.9,-,0.9,0.9,,,,,,,,,,,,,
,235,-,0.8,0.8,-,-,-,-,0.9,0.9,-,0.9,0.9,,,,,,,,,,,,,
,236,-,5.6,5.6,-,0.4,0.4,-,6.0,6.0,-,6.3,6.3,,,,,,,,,,,,,
,237,-,1.0,1.0,-,0.1,0.1,-,1.2,1.2,-,1.4,1.4,,,,,,,,,,,,,
,239,-,1.0,1.0,-,0.1,0.1,-,1.1,1.1,-,1.2,1.2,,,,,,,,,,,,,
24,,-,4.2,4.2,-,0.1,0.1,-,4.3,4.3,-,4.3,4.3,,,,,,,,,,,,,
,241,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,242,-,1.0,1.0,-,-,-,-,1.1,1.1,-,1.1,1.1,,,,,,,,,,,,,
,243,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,244,-,1.6,1.6,-,0.1,0.1,-,1.6,1.6,-,1.6,1.6,,,,,,,,,,,,,
,245,-,1.3,1.3,-,-,-,-,1.4,1.4,-,1.4,1.4,,,,,,,,,,,,,
25,,-,29.6,29.6,-,2.9,2.9,-,32.5,32.5,-,34.6,34.6,,,,,,,,,,,,,
,251,-,6.7,6.7,-,0.6,0.6,-,7.2,7.2,-,7.7,7.7,,,,,,,,,,,,,
,252,-,1.2,1.2,-,0.1,0.1,-,1.3,1.3,-,1.3,1.3,,,,,,,,,,,,,
,253,-,0.3,0.3,-,-,-,-,0.3,0.3,-,0.3,0.3,,,,,,,,,,,,,
,254,-,0.1,0.1,-,-,-,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,
,255,-,1.3,1.3,-,0.1,0.1,-,1.4,1.4,-,1.5,1.5,,,,,,,,,,,,,
,256,-,12.2,12.2,-,1.2,1.2,-,13.4,13.4,-,14.3,14.3,,,,,,,,,,,,,
,257,-,2.1,2.1,-,0.4,0.4,-,2.5,2.5,-,2.7,2.7,,,,,,,,,,,,,
,259,-,5.7,5.7,-,0.6,0.6,-,6.3,6.3,-,6.6,6.6,,,,,,,,,,,,,
26,,*,*,7.4,*,*,0.9,*,*,8.3,*,*,8.3,,,,,,,,,,,,,
,261,-,1.9,1.9,-,0.2,0.2,-,2.1,2.1,-,2.1,2.1,,,,,,,,,,,,,
,262,-,*,*,-,*,*,-,0.2,0.2,-,0.2,0.2,,,,,,,,,,,,,
,263,-,1.3,1.3,-,0.1,0.1,-,1.4,1.4,-,1.4,1.4,,,,,,,,,,,,,
,264,-,0.2,0.2,-,-,-,-,0.3,0.3,-,0.3,0.3,,,,,,,,,,,,,
,265,*,*,3.6,*,*,0.4,*,*,4.0,*,*,4.0,,,,,,,,,,,,,
,266,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,267,-,0.2,0.2,-,-,-,-,0.2,0.2,-,0.2,0.2,,,,,,,,,,,,,
,268,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
27,,-,7.4,7.4,-,0.6,0.6,-,7.9,7.9,-,8.1,8.1,,,,,,,,,,,,,
,271,-,4.5,4.5,-,0.4,0.4,-,4.9,4.9,-,4.9,4.9,,,,,,,,,,,,,
,272,-,*,*,-,*,*,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,
,273,-,0.5,0.5,-,-,-,-,0.5,0.5,-,0.5,0.5,,,,,,,,,,,,,
,274,-,0.9,0.9,-,0.1,0.1,-,1.0,1.0,-,1.0,1.0,,,,,,,,,,,,,
,275,-,*,*,-,*,*,-,0.3,0.3,-,0.3,0.3,,,,,,,,,,,,,
,279,-,1.1,1.1,-,0.1,0.1,-,1.2,1.2,-,1.2,1.2,,,,,,,,,,,,,
28,,-,13.4,13.4,-,0.7,0.7,-,14.1,14.1,-,14.1,14.1,,,,,,,,,,,,,
,281,-,4.9,4.9,-,0.2,0.2,-,5.1,5.1,-,5.1,5.1,,,,,,,,,,,,,
,282,-,4.2,4.2,-,0.2,0.2,-,4.4,4.4,-,4.4,4.4,,,,,,,,,,,,,
,283,-,0.3,0.3,-,-,-,-,0.4,0.4,-,0.4,0.4,,,,,,,,,,,,,
,284,-,0.5,0.5,-,-,-,-,0.5,0.5,-,0.5,0.5,,,,,,,,,,,,,
,289,-,3.4,3.4,-,0.2,0.2,-,3.7,3.7,-,3.7,3.7,,,,,,,,,,,,,
29,,*,*,9.0,*,*,0.4,*,*,9.4,*,*,10.0,,,,,,,,,,,,,
,291,*,*,3.7,*,*,0.1,*,*,3.8,*,*,3.9,,,,,,,,,,,,,
,292,-,1.3,1.3,-,0.1,0.1,-,1.4,1.4,-,1.6,1.6,,,,,,,,,,,,,
,293,*,*,3.9,*,*,0.2,*,*,4.2,*,*,4.6,,,,,,,,,,,,,
30,,-,16.1,16.1,-,0.6,0.6,-,16.7,16.7,-,16.8,16.8,,,,,,,,,,,,,
,301,-,1.3,1.3,-,-,-,-,1.3,1.3,-,1.3,1.3,,,,,,,,,,,,,
,302,-,2.2,2.2,-,0.1,0.1,-,2.3,2.3,-,2.4,2.4,,,,,,,,,,,,,
,303,-,12.0,12.0,-,0.4,0.4,-,12.4,12.4,-,12.5,12.5,,,,,,,,,,,,,
,304,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,309,-,0.6,0.6,-,-,-,-,0.6,0.6,-,0.6,0.6,,,,,,,,,,,,,
31,,-,5.0,5.0,-,0.2,0.2,-,5.3,5.3,-,6.0,6.0,,,,,,,,,,,,,
,310,-,5.0,5.0,-,0.2,0.2,-,5.3,5.3,-,6.0,6.0,,,,,,,,,,,,,
32,,*,*,9.3,*,*,0.7,*,*,10.0,*,*,10.3,,,,,,,,,,,,,
,321,-,0.6,0.6,-,-,-,-,0.7,0.7,-,0.7,0.7,,,,,,,,,,,,,
,322,-,0.2,0.2,-,-,-,-,0.2,0.2,-,0.2,0.2,,,,,,,,,,,,,
,323,-,1.1,1.1,-,0.1,0.1,-,1.2,1.2,-,1.2,1.2,,,,,,,,,,,,,
,324,-,1.3,1.3,-,0.1,0.1,-,1.4,1.4,-,1.4,1.4,,,,,,,,,,,,,
,325,*,*,2.7,*,*,0.2,*,*,2.9,*,*,3.0,,,,,,,,,,,,,
,329,-,3.4,3.4,-,0.2,0.2,-,3.6,3.6,-,3.8,3.8,,,,,,,,,,,,,
33,,*,*,5.9,*,*,0.6,*,*,6.5,*,*,6.6,,,,,,,,,,,,,
,331,*,*,5.3,*,*,0.5,*,*,5.9,*,*,6.0,,,,,,,,,,,,,
