Table 5 - Regional level employment by 2 & 3 digit SIC 2007(Public/Private Split),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,North West,,,,,,,,,Reference year 2010 Thousands ,,,,,,,,,,,,,,,
2 SIC,3 SIC,Full time employees,,,Part time employees,,,Total employees,,,Total employment,,,,,,,,,,,,,,,
,,Public,Private,All,Public,Private,All,Public,Private,All,Public,Private,All,,,,,,,,,,,,,
01*,,-,10.1,10.1,-,2.9,2.9,-,13.0,13.0,-,36.4,36.4,,,,,,,,,,,,,
,016,-,2.0,2.0,-,0.1,0.1,-,2.1,2.1,-,2.8,2.8,,,,,,,,,,,,,
,017,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
02,,*,*,0.6,*,*,-,*,*,0.6,*,*,0.9,,,,,,,,,,,,,
,021,*,*,0.4,*,*,-,*,*,0.4,*,*,0.5,,,,,,,,,,,,,
,022,-,0.1,0.1,-,-,-,-,0.1,0.1,-,0.2,0.2,,,,,,,,,,,,,
,023,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,024,-,0.1,0.1,-,-,-,-,0.1,0.1,-,0.2,0.2,,,,,,,,,,,,,
03,,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,031,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,032,-,0.2,0.2,-,-,-,-,0.2,0.2,-,0.3,0.3,,,,,,,,,,,,,
05,,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,051,*,*,-,*,*,-,*,*,-,*,*,-,,,,,,,,,,,,,
,052,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
06,,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,061,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,062,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
07,,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,071,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,072,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
08,,*,*,1.2,*,*,-,*,*,1.2,*,*,1.2,,,,,,,,,,,,,
,081,-,0.8,0.8,-,-,-,-,0.8,0.8,-,0.8,0.8,,,,,,,,,,,,,
,089,*,*,0.4,*,*,-,*,*,0.4,*,*,0.4,,,,,,,,,,,,,
09,,-,0.1,0.1,-,-,-,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,
,091,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,099,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
10,,-,42.1,42.1,-,5.8,5.8,-,47.9,47.9,-,49.4,49.4,,,,,,,,,,,,,
,101,-,6.5,6.5,-,0.8,0.8,-,7.3,7.3,-,7.6,7.6,,,,,,,,,,,,,
,102,-,0.5,0.5,-,0.1,0.1,-,0.7,0.7,-,0.7,0.7,,,,,,,,,,,,,
,103,-,3.6,3.6,-,0.3,0.3,-,3.8,3.8,-,3.9,3.9,,,,,,,,,,,,,
,104,-,0.3,0.3,-,-,-,-,0.3,0.3,-,0.3,0.3,,,,,,,,,,,,,
,105,-,2.9,2.9,-,0.4,0.4,-,3.2,3.2,-,3.3,3.3,,,,,,,,,,,,,
,106,-,2.4,2.4,-,0.2,0.2,-,2.6,2.6,-,2.7,2.7,,,,,,,,,,,,,
,107,-,14.8,14.8,-,2.5,2.5,-,17.4,17.4,-,17.9,17.9,,,,,,,,,,,,,
,108,-,9.6,9.6,-,1.2,1.2,-,10.8,10.8,-,11.1,11.1,,,,,,,,,,,,,
,109,-,1.6,1.6,-,0.3,0.3,-,1.9,1.9,-,2.0,2.0,,,,,,,,,,,,,
11,,-,2.1,2.1,-,0.4,0.4,-,2.5,2.5,-,2.5,2.5,,,,,,,,,,,,,
,110,-,2.1,2.1,-,0.4,0.4,-,2.5,2.5,-,2.5,2.5,,,,,,,,,,,,,
12,,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,120,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
