Table 5 - Regional level employment by 2 & 3 digit SIC 2007 (Public/Private Split),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Scotland,,,,,,,,,Reference year 2010 Thousands ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 SIC,3 SIC,Full time employees,,,Part time employees,,,Total employees,,,Total employment,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Public,Private,All,Public,Private,All,Public,Private,All,Public,Private,All,,,,,,,,,,,,,,,,,,,,,,,,,,
01*,,*,*,16.0,*,*,13.7,*,*,29.6,*,*,73.6,,,,,,,,,,,,,,,,,,,,,,,,,,
,016,*,*,0.8,*,*,0.3,*,*,1.1,*,*,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
,017,-,0.1,0.1,-,0.1,0.1,-,0.2,0.2,-,0.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
02,,0.7,1.3,2.0,0.1,0.8,0.9,0.8,2.0,2.9,0.8,3.0,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,
,021,0.7,1.0,1.8,0.1,0.6,0.8,0.8,1.7,2.5,0.8,2.5,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,
,022,-,-,-,-,-,-,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
,023,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,
,024,-,0.2,0.2,-,0.1,0.1,-,0.3,0.3,-,0.4,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,
03,,*,*,3.1,*,*,1.5,*,*,4.6,*,*,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,
,031,*,*,1.8,*,*,1.1,*,*,3.0,*,*,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,
,032,-,1.2,1.2,-,0.3,0.3,-,1.6,1.6,-,1.9,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,
05,,-,1.4,1.4,-,-,-,-,1.5,1.5,-,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
,051,-,1.4,1.4,-,-,-,-,1.5,1.5,-,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
,052,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,
06,,-,7.2,7.2,-,0.2,0.2,-,7.4,7.4,-,7.4,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,
,061,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,,,,,,,,,,,,,,
,062,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,,,,,,,,,,,,,,
07,,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,
,071,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,
,072,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,
08,,-,2.2,2.2,-,0.1,0.1,-,2.2,2.2,-,2.3,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,
,081,-,2.0,2.0,-,0.1,0.1,-,2.1,2.1,-,2.1,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,
,089,-,0.2,0.2,-,-,-,-,0.2,0.2,-,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
09,,-,18.3,18.3,-,0.3,0.3,-,18.7,18.7,-,18.7,18.7,,,,,,,,,,,,,,,,,,,,,,,,,,
,091,-,18.3,18.3,-,0.3,0.3,-,18.7,18.7,-,18.7,18.7,,,,,,,,,,,,,,,,,,,,,,,,,,
