Table 5 - Regional level employment by 2 & 3 digit SIC 2007 (Public/Private Split),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,South East,,,,,,,,,Reference year 2010 Thousands ,,,,,,,,,,,,,,,
2 SIC,3 SIC,Full time employees,,,Part time employees,,,Total employees,,,Total employment,,,,,,,,,,,,,,,
,,Public,Private,All,Public,Private,All,Public,Private,All,Public,Private,All,,,,,,,,,,,,,
01*,,*,*,23.3,*,*,5.0,*,*,28.3,*,*,50.6,,,,,,,,,,,,,
,016,*,*,1.1,*,*,0.1,*,*,1.3,*,*,2.3,,,,,,,,,,,,,
,017,-,-,-,-,-,-,-,-,-,-,0.1,0.1,,,,,,,,,,,,,
02,,*,*,0.9,*,*,0.2,*,*,1.1,*,*,1.8,,,,,,,,,,,,,
,021,0.2,0.4,0.6,0.1,0.1,0.1,0.3,0.5,0.7,0.3,1.0,1.2,,,,,,,,,,,,,
,022,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,023,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,024,*,*,0.3,*,*,-,*,*,0.3,*,*,0.5,,,,,,,,,,,,,
03,,-,0.2,0.2,-,-,-,-,0.2,0.2,-,0.4,0.4,,,,,,,,,,,,,
,031,-,0.1,0.1,-,-,-,-,0.1,0.1,-,0.2,0.2,,,,,,,,,,,,,
,032,-,0.1,0.1,-,-,-,-,0.1,0.1,-,0.2,0.2,,,,,,,,,,,,,
05,,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,051,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,052,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
06,,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,061,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,062,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
07,,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,071,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,072,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
08,,-,1.2,1.2,-,-,-,-,1.2,1.2,-,1.2,1.2,,,,,,,,,,,,,
,081,-,1.1,1.1,-,-,-,-,1.2,1.2,-,1.2,1.2,,,,,,,,,,,,,
,089,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
09,,-,0.1,0.1,-,-,-,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,
,091,-,0.1,0.1,-,-,-,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,
,099,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
10,,*,*,19.0,*,*,1.5,*,*,20.5,*,*,20.8,,,,,,,,,,,,,
,101,-,1.8,1.8,-,0.1,0.1,-,1.9,1.9,-,2.0,2.0,,,,,,,,,,,,,
,102,-,0.1,0.1,-,-,-,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,
,103,-,2.4,2.4,-,0.1,0.1,-,2.6,2.6,-,2.6,2.6,,,,,,,,,,,,,
,104,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,105,-,0.5,0.5,-,-,-,-,0.6,0.6,-,0.6,0.6,,,,,,,,,,,,,
,106,*,*,0.6,*,*,0.1,*,*,0.6,*,*,0.6,,,,,,,,,,,,,
,107,-,5.6,5.6,-,0.6,0.6,-,6.2,6.2,-,6.3,6.3,,,,,,,,,,,,,
,108,-,7.3,7.3,-,0.5,0.5,-,7.8,7.8,-,7.8,7.8,,,,,,,,,,,,,
,109,-,0.7,0.7,-,0.1,0.1,-,0.7,0.7,-,0.8,0.8,,,,,,,,,,,,,
11,,-,1.2,1.2,-,0.1,0.1,-,1.3,1.3,-,1.3,1.3,,,,,,,,,,,,,
,110,-,1.2,1.2,-,0.1,0.1,-,1.3,1.3,-,1.3,1.3,,,,,,,,,,,,,
12,,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,120,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
13,,-,2.2,2.2,-,2.0,2.0,-,4.2,4.2,-,4.5,4.5,,,,,,,,,,,,,
,131,-,*,*,-,*,*,-,-,-,-,-,-,,,,,,,,,,,,,
,132,-,*,*,-,*,*,-,0.4,0.4,-,0.4,0.4,,,,,,,,,,,,,
,133,-,0.2,0.2,-,0.3,0.3,-,0.5,0.5,-,0.5,0.5,,,,,,,,,,,,,
,139,-,1.6,1.6,-,1.7,1.7,-,3.3,3.3,-,3.5,3.5,,,,,,,,,,,,,
14,,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,141,-,0.1,0.1,-,0.1,0.1,-,0.3,0.3,-,0.3,0.3,,,,,,,,,,,,,
,142,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,143,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
15,,-,0.6,0.6,-,-,-,-,0.6,0.6,-,0.6,0.6,,,,,,,,,,,,,
,151,-,*,*,-,*,*,-,0.5,0.5,-,0.5,0.5,,,,,,,,,,,,,
,152,-,*,*,-,*,*,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,
16,,-,3.4,3.4,-,0.5,0.5,-,3.9,3.9,-,4.9,4.9,,,,,,,,,,,,,
,161,-,0.3,0.3,-,-,-,-,0.3,0.3,-,0.4,0.4,,,,,,,,,,,,,
,162,-,3.1,3.1,-,0.5,0.5,-,3.6,3.6,-,4.5,4.5,,,,,,,,,,,,,
17,,*,*,6.1,*,*,0.1,*,*,6.3,*,*,6.3,,,,,,,,,,,,,
,171,-,2.1,2.1,-,-,-,-,2.1,2.1,-,2.1,2.1,,,,,,,,,,,,,
,172,*,*,4.0,*,*,0.1,*,*,4.1,*,*,4.2,,,,,,,,,,,,,
18,,*,*,18.5,*,*,2.3,*,*,20.8,*,*,22.1,,,,,,,,,,,,,
,181,*,*,17.9,*,*,2.3,*,*,20.2,*,*,21.5,,,,,,,,,,,,,
,182,-,0.5,0.5,-,0.1,0.1,-,0.6,0.6,-,0.6,0.6,,,,,,,,,,,,,
19,,-,1.9,1.9,-,-,-,-,1.9,1.9,-,1.9,1.9,,,,,,,,,,,,,
,191,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,192,-,1.9,1.9,-,-,-,-,1.9,1.9,-,1.9,1.9,,,,,,,,,,,,,
20,,-,10.7,10.7,-,0.7,0.7,-,11.3,11.3,-,11.3,11.3,,,,,,,,,,,,,
,201,-,2.1,2.1,-,0.1,0.1,-,2.2,2.2,-,2.2,2.2,,,,,,,,,,,,,
,202,-,0.1,0.1,-,-,-,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,
,203,-,1.6,1.6,-,0.1,0.1,-,1.6,1.6,-,1.6,1.6,,,,,,,,,,,,,
,204,-,3.1,3.1,-,0.2,0.2,-,3.3,3.3,-,3.3,3.3,,,,,,,,,,,,,
,205,-,3.8,3.8,-,0.3,0.3,-,4.1,4.1,-,4.1,4.1,,,,,,,,,,,,,
,206,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
21,,*,*,5.2,*,*,0.6,*,*,5.8,*,*,5.8,,,,,,,,,,,,,
,211,*,*,1.1,*,*,0.1,*,*,1.2,*,*,1.2,,,,,,,,,,,,,
,212,*,*,4.1,*,*,0.5,*,*,4.6,*,*,4.6,,,,,,,,,,,,,
22,,-,13.4,13.4,-,0.7,0.7,-,14.1,14.1,-,14.2,14.2,,,,,,,,,,,,,
,221,-,1.4,1.4,-,0.1,0.1,-,1.5,1.5,-,1.5,1.5,,,,,,,,,,,,,
,222,-,12.0,12.0,-,0.6,0.6,-,12.6,12.6,-,12.7,12.7,,,,,,,,,,,,,
23,,-,5.2,5.2,-,0.3,0.3,-,5.4,5.4,-,5.6,5.6,,,,,,,,,,,,,
,231,-,0.9,0.9,-,0.1,0.1,-,1.0,1.0,-,1.0,1.0,,,,,,,,,,,,,
,232,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,233,-,0.9,0.9,-,-,-,-,0.9,0.9,-,1.0,1.0,,,,,,,,,,,,,
,234,-,*,*,-,*,*,-,0.2,0.2,-,0.2,0.2,,,,,,,,,,,,,
,235,-,*,*,-,*,*,-,-,-,-,-,-,,,,,,,,,,,,,
,236,-,1.9,1.9,-,0.1,0.1,-,1.9,1.9,-,1.9,1.9,,,,,,,,,,,,,
,237,-,0.6,0.6,-,0.1,0.1,-,0.7,0.7,-,0.7,0.7,,,,,,,,,,,,,
,239,-,0.7,0.7,-,-,-,-,0.8,0.8,-,0.8,0.8,,,,,,,,,,,,,
24,,-,2.4,2.4,-,0.1,0.1,-,2.5,2.5,-,2.6,2.6,,,,,,,,,,,,,
,241,-,0.7,0.7,-,-,-,-,0.7,0.7,-,0.8,0.8,,,,,,,,,,,,,
,242,-,0.2,0.2,-,-,-,-,0.3,0.3,-,0.3,0.3,,,,,,,,,,,,,
,243,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,244,-,0.5,0.5,-,-,-,-,0.5,0.5,-,0.5,0.5,,,,,,,,,,,,,
,245,-,0.9,0.9,-,0.1,0.1,-,1.0,1.0,-,1.0,1.0,,,,,,,,,,,,,
25,,*,*,33.1,*,*,3.8,*,*,36.9,*,*,39.8,,,,,,,,,,,,,
,251,-,6.0,6.0,-,0.8,0.8,-,6.8,6.8,-,7.4,7.4,,,,,,,,,,,,,
,252,-,0.2,0.2,-,-,-,-,0.2,0.2,-,0.2,0.2,,,,,,,,,,,,,
,253,-,0.3,0.3,-,-,-,-,0.3,0.3,-,0.3,0.3,,,,,,,,,,,,,
,254,*,*,5.9,*,*,0.2,*,*,6.1,*,*,6.1,,,,,,,,,,,,,
,255,-,1.4,1.4,-,0.2,0.2,-,1.5,1.5,-,1.7,1.7,,,,,,,,,,,,,
,256,-,13.0,13.0,-,1.8,1.8,-,14.9,14.9,-,16.3,16.3,,,,,,,,,,,,,
,257,-,2.4,2.4,-,0.3,0.3,-,2.7,2.7,-,2.9,2.9,,,,,,,,,,,,,
,259,-,3.9,3.9,-,0.5,0.5,-,4.5,4.5,-,4.9,4.9,,,,,,,,,,,,,
26,,-,29.6,29.6,-,2.4,2.4,-,31.9,31.9,-,32.4,32.4,,,,,,,,,,,,,
,261,-,4.5,4.5,-,0.4,0.4,-,4.9,4.9,-,5.0,5.0,,,,,,,,,,,,,
,262,-,3.0,3.0,-,0.3,0.3,-,3.3,3.3,-,3.3,3.3,,,,,,,,,,,,,
,263,-,5.3,5.3,-,0.4,0.4,-,5.7,5.7,-,5.8,5.8,,,,,,,,,,,,,
,264,-,1.4,1.4,-,0.2,0.2,-,1.5,1.5,-,1.6,1.6,,,,,,,,,,,,,
,265,-,12.5,12.5,-,1.0,1.0,-,13.4,13.4,-,13.6,13.6,,,,,,,,,,,,,
,266,-,1.8,1.8,-,0.1,0.1,-,1.9,1.9,-,1.9,1.9,,,,,,,,,,,,,
,267,-,1.0,1.0,-,0.1,0.1,-,1.1,1.1,-,1.1,1.1,,,,,,,,,,,,,
,268,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
27,,-,10.6,10.6,-,1.5,1.5,-,12.1,12.1,-,12.3,12.3,,,,,,,,,,,,,
,271,-,5.2,5.2,-,0.6,0.6,-,5.7,5.7,-,5.8,5.8,,,,,,,,,,,,,
,272,-,0.1,0.1,-,-,-,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,
,273,-,1.8,1.8,-,0.2,0.2,-,2.0,2.0,-,2.0,2.0,,,,,,,,,,,,,
,274,-,1.7,1.7,-,0.3,0.3,-,2.0,2.0,-,2.0,2.0,,,,,,,,,,,,,
,275,-,0.7,0.7,-,0.1,0.1,-,0.8,0.8,-,0.8,0.8,,,,,,,,,,,,,
,279,-,1.1,1.1,-,0.3,0.3,-,1.5,1.5,-,1.5,1.5,,,,,,,,,,,,,
28,,-,25.2,25.2,-,2.2,2.2,-,27.3,27.3,-,27.5,27.5,,,,,,,,,,,,,
,281,-,10.7,10.7,-,0.7,0.7,-,11.4,11.4,-,11.4,11.4,,,,,,,,,,,,,
,282,-,10.3,10.3,-,1.0,1.0,-,11.2,11.2,-,11.3,11.3,,,,,,,,,,,,,
,283,-,0.4,0.4,-,0.1,0.1,-,0.4,0.4,-,0.4,0.4,,,,,,,,,,,,,
,284,-,0.8,0.8,-,0.1,0.1,-,0.9,0.9,-,0.9,0.9,,,,,,,,,,,,,
,289,-,3.0,3.0,-,0.4,0.4,-,3.4,3.4,-,3.5,3.5,,,,,,,,,,,,,
29,,-,10.2,10.2,-,0.5,0.5,-,10.6,10.6,-,10.6,10.6,,,,,,,,,,,,,
,291,-,6.2,6.2,-,0.1,0.1,-,6.2,6.2,-,6.2,6.2,,,,,,,,,,,,,
,292,-,1.1,1.1,-,0.1,0.1,-,1.2,1.2,-,1.2,1.2,,,,,,,,,,,,,
,293,-,2.9,2.9,-,0.3,0.3,-,3.2,3.2,-,3.2,3.2,,,,,,,,,,,,,
30,,*,*,13.6,*,*,0.4,*,*,14.0,*,*,14.2,,,,,,,,,,,,,
,301,-,3.9,3.9,-,0.1,0.1,-,4.0,4.0,-,4.1,4.1,,,,,,,,,,,,,
,302,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,303,*,*,9.5,*,*,0.3,*,*,9.7,*,*,9.8,,,,,,,,,,,,,
,304,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,309,-,0.1,0.1,-,-,-,-,0.1,0.1,-,0.2,0.2,,,,,,,,,,,,,
31,,-,5.0,5.0,-,0.5,0.5,-,5.4,5.4,-,5.6,5.6,,,,,,,,,,,,,
,310,-,5.0,5.0,-,0.5,0.5,-,5.4,5.4,-,5.6,5.6,,,,,,,,,,,,,
32,,-,12.4,12.4,-,1.5,1.5,-,13.9,13.9,-,14.6,14.6,,,,,,,,,,,,,
,321,-,0.3,0.3,-,0.1,0.1,-,0.4,0.4,-,0.5,0.5,,,,,,,,,,,,,
,322,-,0.1,0.1,-,-,-,-,0.2,0.2,-,0.2,0.2,,,,,,,,,,,,,
,323,-,0.5,0.5,-,0.1,0.1,-,0.5,0.5,-,0.5,0.5,,,,,,,,,,,,,
,324,-,0.3,0.3,-,0.1,0.1,-,0.3,0.3,-,0.4,0.4,,,,,,,,,,,,,
,325,-,8.6,8.6,-,0.9,0.9,-,9.5,9.5,-,9.8,9.8,,,,,,,,,,,,,
,329,-,2.5,2.5,-,0.4,0.4,-,2.9,2.9,-,3.2,3.2,,,,,,,,,,,,,
33,,*,*,12.0,*,*,1.4,*,*,13.4,*,*,14.7,,,,,,,,,,,,,
,331,*,*,8.7,*,*,1.1,*,*,9.8,*,*,10.9,,,,,,,,,,,,,
,332,-,3.3,3.3,-,0.3,0.3,-,3.6,3.6,-,3.8,3.8,,,,,,,,,,,,,
35,,-,15.9,15.9,-,1.4,1.4,-,17.3,17.3,-,17.4,17.4,,,,,,,,,,,,,
,351,-,9.8,9.8,-,0.9,0.9,-,10.7,10.7,-,10.8,10.8,,,,,,,,,,,,,
,352,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,353,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
36,,*,*,3.3,*,*,0.3,*,*,3.6,*,*,3.6,,,,,,,,,,,,,
,360,*,*,3.3,*,*,0.3,*,*,3.6,*,*,3.6,,,,,,,,,,,,,
37,,0.1,2.6,2.6,-,0.2,0.2,0.1,2.8,2.8,0.1,2.9,2.9,,,,,,,,,,,,,
