Table 5 - Regional level employment by 2 & 3 digit SIC 2007 (Public/Private Split),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,South West,,,,,,,,,Reference year 2010 Thousands ,,,,,,,,,,,,,,,
2 SIC,3 SIC,Full time employees,,,Part time employees,,,Total employees,,,Total employment,,,,,,,,,,,,,,,
,,Public,Private,All,Public,Private,All,Public,Private,All,Public,Private,All,,,,,,,,,,,,,
01*,,-,15.8,15.8,-,6.7,6.7,-,22.5,22.5,-,68.1,68.1,,,,,,,,,,,,,
,016,-,1.2,1.2,-,0.4,0.4,-,1.6,1.6,-,3.0,3.0,,,,,,,,,,,,,
,017,-,0.1,0.1,-,-,-,-,0.2,0.2,-,0.3,0.3,,,,,,,,,,,,,
02,,*,*,0.9,*,*,0.2,*,*,1.1,*,*,2.0,,,,,,,,,,,,,
,021,*,*,0.7,*,*,0.2,*,*,0.9,*,*,1.5,,,,,,,,,,,,,
,022,-,-,-,-,-,-,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,
,023,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,024,-,0.1,0.1,-,-,-,-,0.2,0.2,-,0.3,0.3,,,,,,,,,,,,,
03,,*,*,0.5,*,*,0.2,*,*,0.7,*,*,1.4,,,,,,,,,,,,,
,031,*,*,0.4,*,*,0.1,*,*,0.5,*,*,0.9,,,,,,,,,,,,,
,032,-,0.2,0.2,-,0.1,0.1,-,0.2,0.2,-,0.5,0.5,,,,,,,,,,,,,
05,,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,051,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,052,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
06,,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,061,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,062,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
07,,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,071,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,072,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
08,,-,3.0,3.0,-,0.2,0.2,-,3.2,3.2,-,3.2,3.2,,,,,,,,,,,,,
,081,-,2.8,2.8,-,0.1,0.1,-,3.0,3.0,-,3.0,3.0,,,,,,,,,,,,,
,089,-,0.2,0.2,-,-,-,-,0.2,0.2,-,0.2,0.2,,,,,,,,,,,,,
09,,-,0.1,0.1,-,-,-,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,
,091,-,0.1,0.1,-,-,-,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,
,099,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
10,,-,24.5,24.5,-,3.7,3.7,-,28.2,28.2,-,28.6,28.6,,,,,,,,,,,,,
,101,-,4.3,4.3,-,0.5,0.5,-,4.7,4.7,-,4.8,4.8,,,,,,,,,,,,,
,102,-,0.9,0.9,-,0.1,0.1,-,1.0,1.0,-,1.0,1.0,,,,,,,,,,,,,
,103,-,1.1,1.1,-,0.1,0.1,-,1.3,1.3,-,1.3,1.3,,,,,,,,,,,,,
,104,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,105,-,5.5,5.5,-,0.6,0.6,-,6.2,6.2,-,6.2,6.2,,,,,,,,,,,,,
,106,-,0.6,0.6,-,0.2,0.2,-,0.8,0.8,-,0.8,0.8,,,,,,,,,,,,,
,107,-,7.0,7.0,-,1.4,1.4,-,8.4,8.4,-,8.6,8.6,,,,,,,,,,,,,
,108,-,4.1,4.1,-,0.6,0.6,-,4.7,4.7,-,4.7,4.7,,,,,,,,,,,,,
,109,-,0.9,0.9,-,0.2,0.2,-,1.1,1.1,-,1.1,1.1,,,,,,,,,,,,,
11,,-,3.0,3.0,-,0.3,0.3,-,3.3,3.3,-,3.4,3.4,,,,,,,,,,,,,
,110,-,3.0,3.0,-,0.3,0.3,-,3.3,3.3,-,3.4,3.4,,,,,,,,,,,,,
12,,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,120,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
13,,*,*,1.9,*,*,0.8,*,*,2.7,*,*,2.8,,,,,,,,,,,,,
,131,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,132,-,0.6,0.6,-,0.1,0.1,-,0.8,0.8,-,0.8,0.8,,,,,,,,,,,,,
,133,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,139,*,*,1.2,*,*,0.5,*,*,1.8,*,*,1.8,,,,,,,,,,,,,
14,,-,-,-,-,0.1,0.1,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,
,141,-,-,-,-,0.1,0.1,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,
,142,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,143,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
15,,-,0.5,0.5,-,-,-,-,0.6,0.6,-,0.6,0.6,,,,,,,,,,,,,
,151,-,0.5,0.5,-,-,-,-,0.5,0.5,-,0.5,0.5,,,,,,,,,,,,,
,152,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
16,,-,8.3,8.3,-,0.8,0.8,-,9.1,9.1,-,10.1,10.1,,,,,,,,,,,,,
,161,-,1.0,1.0,-,0.1,0.1,-,1.1,1.1,-,1.2,1.2,,,,,,,,,,,,,
,162,-,7.3,7.3,-,0.7,0.7,-,8.0,8.0,-,9.0,9.0,,,,,,,,,,,,,
17,,*,*,3.5,*,*,0.1,*,*,3.6,*,*,3.6,,,,,,,,,,,,,
,171,*,*,0.8,*,*,-,*,*,0.9,*,*,0.9,,,,,,,,,,,,,
,172,-,2.6,2.6,-,0.1,0.1,-,2.7,2.7,-,2.7,2.7,,,,,,,,,,,,,
18,,*,*,13.2,*,*,2.7,*,*,15.9,*,*,16.8,,,,,,,,,,,,,
,181,*,*,13.0,*,*,2.6,*,*,15.6,*,*,16.6,,,,,,,,,,,,,
,182,-,0.2,0.2,-,0.1,0.1,-,0.3,0.3,-,0.3,0.3,,,,,,,,,,,,,
19,,-,*,*,-,-,-,-,*,*,-,*,*,,,,,,,,,,,,,
,191,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,192,-,*,*,-,-,-,-,*,*,-,*,*,,,,,,,,,,,,,
20,,-,6.5,6.5,-,0.5,0.5,-,6.9,6.9,-,7.3,7.3,,,,,,,,,,,,,
,201,-,1.3,1.3,-,0.1,0.1,-,1.4,1.4,-,1.5,1.5,,,,,,,,,,,,,
,202,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,203,-,1.3,1.3,-,0.1,0.1,-,1.4,1.4,-,1.5,1.5,,,,,,,,,,,,,
,204,-,2.6,2.6,-,0.2,0.2,-,2.8,2.8,-,2.9,2.9,,,,,,,,,,,,,
,205,-,1.0,1.0,-,0.1,0.1,-,1.1,1.1,-,1.1,1.1,,,,,,,,,,,,,
,206,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
21,,*,*,3.8,*,*,0.5,*,*,4.3,*,*,4.3,,,,,,,,,,,,,
,211,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,212,*,*,*,*,*,*,*,*,*,*,*,*,,,,,,,,,,,,,
22,,-,9.6,9.6,-,0.7,0.7,-,10.3,10.3,-,10.5,10.5,,,,,,,,,,,,,
,221,-,2.2,2.2,-,0.1,0.1,-,2.3,2.3,-,2.4,2.4,,,,,,,,,,,,,
,222,-,7.4,7.4,-,0.5,0.5,-,8.0,8.0,-,8.2,8.2,,,,,,,,,,,,,
23,,-,4.4,4.4,-,0.2,0.2,-,4.6,4.6,-,4.6,4.6,,,,,,,,,,,,,
,231,-,0.9,0.9,-,-,-,-,0.9,0.9,-,0.9,0.9,,,,,,,,,,,,,
,232,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,233,-,0.7,0.7,-,-,-,-,0.7,0.7,-,0.7,0.7,,,,,,,,,,,,,
,234,-,0.1,0.1,-,-,-,-,0.2,0.2,-,0.2,0.2,,,,,,,,,,,,,
,235,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,236,-,1.9,1.9,-,0.1,0.1,-,2.0,2.0,-,2.0,2.0,,,,,,,,,,,,,
,237,-,0.6,0.6,-,-,-,-,0.6,0.6,-,0.6,0.6,,,,,,,,,,,,,
,239,-,0.1,0.1,-,-,-,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,
24,,-,4.4,4.4,-,0.2,0.2,-,4.5,4.5,-,4.7,4.7,,,,,,,,,,,,,
,241,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,242,-,1.8,1.8,-,-,-,-,1.8,1.8,-,1.9,1.9,,,,,,,,,,,,,
,243,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,244,-,0.8,0.8,-,-,-,-,0.8,0.8,-,0.9,0.9,,,,,,,,,,,,,
,245,-,1.6,1.6,-,0.1,0.1,-,1.7,1.7,-,1.8,1.8,,,,,,,,,,,,,
25,,-,18.1,18.1,-,3.4,3.4,-,21.5,21.5,-,23.9,23.9,,,,,,,,,,,,,
,251,-,3.8,3.8,-,0.7,0.7,-,4.5,4.5,-,5.0,5.0,,,,,,,,,,,,,
,252,-,0.4,0.4,-,-,-,-,0.4,0.4,-,0.4,0.4,,,,,,,,,,,,,
,253,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,254,-,0.9,0.9,-,0.1,0.1,-,0.9,0.9,-,1.0,1.0,,,,,,,,,,,,,
,255,-,0.7,0.7,-,0.1,0.1,-,0.8,0.8,-,0.9,0.9,,,,,,,,,,,,,
,256,-,8.0,8.0,-,1.7,1.7,-,9.7,9.7,-,10.9,10.9,,,,,,,,,,,,,
,257,-,2.1,2.1,-,0.3,0.3,-,2.5,2.5,-,2.7,2.7,,,,,,,,,,,,,
,259,-,2.2,2.2,-,0.4,0.4,-,2.7,2.7,-,3.0,3.0,,,,,,,,,,,,,
26,,-,12.9,12.9,-,0.6,0.6,-,13.5,13.5,-,13.6,13.6,,,,,,,,,,,,,
,261,-,3.2,3.2,-,0.2,0.2,-,3.3,3.3,-,3.3,3.3,,,,,,,,,,,,,
,262,-,0.9,0.9,-,-,-,-,1.0,1.0,-,1.0,1.0,,,,,,,,,,,,,
,263,-,0.9,0.9,-,0.1,0.1,-,0.9,0.9,-,0.9,0.9,,,,,,,,,,,,,
,264,-,0.3,0.3,-,-,-,-,0.3,0.3,-,0.3,0.3,,,,,,,,,,,,,
,265,-,7.1,7.1,-,0.3,0.3,-,7.4,7.4,-,7.4,7.4,,,,,,,,,,,,,
,266,-,0.3,0.3,-,-,-,-,0.3,0.3,-,0.3,0.3,,,,,,,,,,,,,
,267,-,0.3,0.3,-,-,-,-,0.3,0.3,-,0.3,0.3,,,,,,,,,,,,,
,268,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
27,,-,6.4,6.4,-,0.4,0.4,-,6.8,6.8,-,6.8,6.8,,,,,,,,,,,,,
,271,-,1.8,1.8,-,0.1,0.1,-,1.9,1.9,-,1.9,1.9,,,,,,,,,,,,,
,272,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,273,-,1.1,1.1,-,-,-,-,1.1,1.1,-,1.1,1.1,,,,,,,,,,,,,
,274,-,0.4,0.4,-,-,-,-,0.4,0.4,-,0.4,0.4,,,,,,,,,,,,,
,275,-,2.3,2.3,-,0.2,0.2,-,2.4,2.4,-,2.4,2.4,,,,,,,,,,,,,
,279,-,0.9,0.9,-,-,-,-,0.9,0.9,-,0.9,0.9,,,,,,,,,,,,,
28,,-,14.1,14.1,-,0.6,0.6,-,14.7,14.7,-,15.2,15.2,,,,,,,,,,,,,
,281,-,6.4,6.4,-,0.3,0.3,-,6.7,6.7,-,6.8,6.8,,,,,,,,,,,,,
,282,-,4.7,4.7,-,0.2,0.2,-,4.9,4.9,-,5.1,5.1,,,,,,,,,,,,,
,283,-,0.4,0.4,-,-,-,-,0.4,0.4,-,0.4,0.4,,,,,,,,,,,,,
,284,-,0.8,0.8,-,-,-,-,0.8,0.8,-,0.8,0.8,,,,,,,,,,,,,
,289,-,1.9,1.9,-,0.1,0.1,-,2.0,2.0,-,2.1,2.1,,,,,,,,,,,,,
29,,-,7.2,7.2,-,0.1,0.1,-,7.3,7.3,-,7.3,7.3,,,,,,,,,,,,,
,291,-,3.7,3.7,-,0.1,0.1,-,3.7,3.7,-,3.7,3.7,,,,,,,,,,,,,
,292,-,0.7,0.7,-,-,-,-,0.7,0.7,-,0.7,0.7,,,,,,,,,,,,,
,293,-,2.8,2.8,-,0.1,0.1,-,2.9,2.9,-,2.9,2.9,,,,,,,,,,,,,
30,,-,24.3,24.3,-,0.7,0.7,-,25.0,25.0,-,25.2,25.2,,,,,,,,,,,,,
,301,-,9.4,9.4,-,0.2,0.2,-,9.6,9.6,-,9.7,9.7,,,,,,,,,,,,,
,302,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,303,-,14.2,14.2,-,0.4,0.4,-,14.6,14.6,-,14.7,14.7,,,,,,,,,,,,,
,304,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,309,-,0.4,0.4,-,-,-,-,0.5,0.5,-,0.5,0.5,,,,,,,,,,,,,
31,,-,7.5,7.5,-,0.4,0.4,-,7.9,7.9,-,8.4,8.4,,,,,,,,,,,,,
,310,-,7.5,7.5,-,0.4,0.4,-,7.9,7.9,-,8.4,8.4,,,,,,,,,,,,,
32,,-,7.5,7.5,-,1.3,1.3,-,8.8,8.8,-,9.3,9.3,,,,,,,,,,,,,
,321,-,0.2,0.2,-,0.1,0.1,-,0.3,0.3,-,0.3,0.3,,,,,,,,,,,,,
,322,-,0.1,0.1,-,-,-,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,
,323,-,0.4,0.4,-,0.1,0.1,-,0.4,0.4,-,0.5,0.5,,,,,,,,,,,,,
,324,-,0.4,0.4,-,0.1,0.1,-,0.5,0.5,-,0.5,0.5,,,,,,,,,,,,,
,325,-,4.1,4.1,-,0.6,0.6,-,4.7,4.7,-,4.9,4.9,,,,,,,,,,,,,
,329,-,2.3,2.3,-,0.5,0.5,-,2.8,2.8,-,3.0,3.0,,,,,,,,,,,,,
33,,*,*,12.0,*,*,1.5,*,*,13.4,*,*,14.6,,,,,,,,,,,,,
,331,*,*,9.0,*,*,1.2,*,*,10.2,*,*,11.1,,,,,,,,,,,,,
,332,-,3.0,3.0,-,0.2,0.2,-,3.2,3.2,-,3.5,3.5,,,,,,,,,,,,,
35,,*,*,8.9,*,*,0.7,*,*,9.6,*,*,9.7,,,,,,,,,,,,,
,351,*,*,8.1,*,*,0.7,*,*,8.8,*,*,8.8,,,,,,,,,,,,,
,352,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,353,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
36,,*,*,3.0,*,*,0.2,*,*,3.1,*,*,3.1,,,,,,,,,,,,,
,360,*,*,3.0,*,*,0.2,*,*,3.1,*,*,3.1,,,,,,,,,,,,,
37,,-,1.6,1.7,-,0.3,0.3,-,1.9,1.9,-,1.9,1.9,,,,,,,,,,,,,
,370,-,1.6,1.7,-,0.3,0.3,-,1.9,1.9,-,1.9,1.9,,,,,,,,,,,,,
38,,1.6,4.9,6.6,0.1,0.2,0.3,1.7,5.1,6.9,1.7,5.1,6.9,,,,,,,,,,,,,
,381,0.7,2.9,3.6,-,0.1,0.2,0.7,3.0,3.8,0.7,3.0,3.8,,,,,,,,,,,,,
,382,*,*,2.5,*,*,0.1,*,*,2.6,*,*,2.6,,,,,,,,,,,,,
,383,*,*,0.5,*,*,-,*,*,0.5,*,*,0.5,,,,,,,,,,,,,
39,,-,0.7,0.7,-,-,-,-,0.8,0.8,-,0.8,0.8,,,,,,,,,,,,,
,390,-,0.7,0.7,-,-,-,-,0.8,0.8,-,0.8,0.8,,,,,,,,,,,,,
41,,0.5,30.8,31.3,-,2.9,2.9,0.5,33.7,34.2,0.6,41.6,42.1,,,,,,,,,,,,,
,411,*,*,1.4,*,*,0.8,*,*,2.2,*,*,2.7,,,,,,,,,,,,,
,412,*,*,29.9,*,*,2.1,*,*,32.1,*,*,39.4,,,,,,,,,,,,,
42,,*,*,10.4,*,*,1.0,*,*,11.5,*,*,12.9,,,,,,,,,,,,,
,421,*,*,3.2,*,*,*,*,*,3.5,*,*,4.0,,,,,,,,,,,,,
,422,-,0.1,0.1,-,-,-,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,
,429,0.3,6.7,7.1,-,0.8,0.8,0.4,7.5,7.9,0.4,8.3,8.7,,,,,,,,,,,,,
43,,*,*,43.4,*,*,4.5,*,*,47.9,*,*,60.0,,,,,,,,,,,,,
