Table 5 - Regional level employment by 2 & 3 digit SIC 2007 (Public/Private Split),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,West Midlands,,,,,,,,,Reference year 2010 Thousands ,,,,,,,,,,,,,,,
2 SIC,3 SIC,Full time employees,,,Part time employees,,,Total employees,,,Total employment,,,,,,,,,,,,,,,
,,Public,Private,All,Public,Private,All,Public,Private,All,Public,Private,All,,,,,,,,,,,,,
01*,,-,15.2,15.2,-,3.6,3.6,-,18.8,18.8,-,43.3,43.3,,,,,,,,,,,,,
,016,-,0.5,0.5,-,-,-,-,0.5,0.5,-,1.1,1.1,,,,,,,,,,,,,
,017,-,-,-,-,-,-,-,-,-,-,0.1,0.1,,,,,,,,,,,,,
02,,*,*,0.3,*,*,-,*,*,0.3,*,*,0.6,,,,,,,,,,,,,
,021,*,*,0.2,*,*,-,*,*,0.2,*,*,0.4,,,,,,,,,,,,,
,022,-,*,*,-,*,*,-,-,-,-,-,-,,,,,,,,,,,,,
,023,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,024,-,*,*,-,*,*,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,
03,,-,-,-,-,-,-,-,-,-,-,0.1,0.1,,,,,,,,,,,,,
,031,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,032,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
05,,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,051,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,052,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
06,,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,061,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,062,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
07,,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,071,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,072,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
08,,-,0.7,0.7,-,-,-,-,0.7,0.7,-,0.7,0.7,,,,,,,,,,,,,
,081,-,0.6,0.6,-,-,-,-,0.6,0.6,-,0.6,0.6,,,,,,,,,,,,,
,089,-,0.1,0.1,-,-,-,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,
09,,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,091,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,099,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
10,,-,26.4,26.4,-,4.5,4.5,-,30.9,30.9,-,31.2,31.2,,,,,,,,,,,,,
,101,-,7.4,7.4,-,1.0,1.0,-,8.4,8.4,-,8.5,8.5,,,,,,,,,,,,,
,102,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,103,-,3.1,3.1,-,0.2,0.2,-,3.3,3.3,-,3.3,3.3,,,,,,,,,,,,,
,104,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,105,-,3.4,3.4,-,0.2,0.2,-,3.6,3.6,-,3.6,3.6,,,,,,,,,,,,,
,106,-,0.4,0.4,-,-,-,-,0.4,0.4,-,0.4,0.4,,,,,,,,,,,,,
,107,-,5.3,5.3,-,1.7,1.7,-,7.0,7.0,-,7.1,7.1,,,,,,,,,,,,,
,108,-,6.1,6.1,-,1.0,1.0,-,7.2,7.2,-,7.2,7.2,,,,,,,,,,,,,
,109,-,0.6,0.6,-,0.2,0.2,-,0.8,0.8,-,0.8,0.8,,,,,,,,,,,,,
11,,-,3.6,3.6,-,0.5,0.5,-,4.1,4.1,-,4.2,4.2,,,,,,,,,,,,,
,110,-,3.6,3.6,-,0.5,0.5,-,4.1,4.1,-,4.2,4.2,,,,,,,,,,,,,
12,,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,120,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
13,,*,*,2.4,*,*,0.2,*,*,2.6,*,*,2.6,,,,,,,,,,,,,
,131,-,*,*,-,*,*,-,0.2,0.2,-,0.2,0.2,,,,,,,,,,,,,
,132,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,133,-,0.3,0.3,-,-,-,-,0.3,0.3,-,0.3,0.3,,,,,,,,,,,,,
,139,*,*,1.9,*,*,0.2,*,*,2.1,*,*,2.1,,,,,,,,,,,,,
14,,-,4.3,4.3,-,3.1,3.1,-,7.5,7.5,-,7.5,7.5,,,,,,,,,,,,,
,141,-,4.3,4.3,-,3.1,3.1,-,7.3,7.3,-,7.3,7.3,,,,,,,,,,,,,
,142,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,143,-,0.1,0.1,-,0.1,0.1,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,
15,,-,0.8,0.8,-,0.1,0.1,-,0.8,0.8,-,0.8,0.8,,,,,,,,,,,,,
,151,-,*,*,-,*,*,-,0.8,0.8,-,0.8,0.8,,,,,,,,,,,,,
,152,-,*,*,-,*,*,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,
16,,-,7.2,7.2,-,1.9,1.9,-,9.1,9.1,-,9.3,9.3,,,,,,,,,,,,,
,161,-,0.9,0.9,-,0.2,0.2,-,1.0,1.0,-,1.1,1.1,,,,,,,,,,,,,
,162,-,6.4,6.4,-,1.7,1.7,-,8.1,8.1,-,8.3,8.3,,,,,,,,,,,,,
17,,*,*,2.9,*,*,0.3,*,*,3.2,*,*,3.2,,,,,,,,,,,,,
,171,-,0.4,0.4,-,-,-,-,0.5,0.5,-,0.5,0.5,,,,,,,,,,,,,
,172,*,*,2.5,*,*,0.2,*,*,2.7,*,*,2.7,,,,,,,,,,,,,
18,,*,*,6.3,*,*,1.0,0.1,7.2,7.2,0.1,8.0,8.0,,,,,,,,,,,,,
,181,*,*,6.1,*,*,0.9,0.1,7.0,7.1,0.1,7.8,7.8,,,,,,,,,,,,,
,182,-,0.2,0.2,-,-,-,-,0.2,0.2,-,0.2,0.2,,,,,,,,,,,,,
19,,-,*,*,-,*,*,-,0.2,0.2,-,0.2,0.2,,,,,,,,,,,,,
,191,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,192,-,*,*,-,*,*,-,0.2,0.2,-,0.2,0.2,,,,,,,,,,,,,
20,,-,4.2,4.2,-,0.3,0.3,-,4.5,4.5,-,4.8,4.8,,,,,,,,,,,,,
,201,-,1.5,1.5,-,0.1,0.1,-,1.6,1.6,-,1.7,1.7,,,,,,,,,,,,,
,202,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,203,-,0.9,0.9,-,-,-,-,0.9,0.9,-,1.0,1.0,,,,,,,,,,,,,
,204,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,205,-,1.0,1.0,-,0.1,0.1,-,1.1,1.1,-,1.1,1.1,,,,,,,,,,,,,
,206,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
21,,*,*,0.5,*,*,0.1,*,*,0.6,*,*,0.6,,,,,,,,,,,,,
,211,-,*,*,-,*,*,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,
,212,*,*,*,*,*,*,*,*,0.6,*,*,0.6,,,,,,,,,,,,,
