Table 5 - Regional level employment by 2 & 3 digit SIC 2007(Public/Private Split),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Yorkshire and The Humber ,,,,,,,,,Reference year 2010 Thousands ,,,,,,,,,,,,,,,
2 SIC,3 SIC,Full time employees,,,Part time employees,,,Total employees,,,Total employment,,,,,,,,,,,,,,,
,,Public,Private,All,Public,Private,All,Public,Private,All,Public,Private,All,,,,,,,,,,,,,
01*,,*,*,9.1,*,*,4.0,*,*,13.1,*,*,35.0,,,,,,,,,,,,,
,016,*,*,0.4,*,*,0.7,*,*,1.0,*,*,1.3,,,,,,,,,,,,,
,017,-,0.1,0.1,-,0.1,0.1,-,0.2,0.2,-,0.3,0.3,,,,,,,,,,,,,
02,,*,*,0.3,*,*,0.5,*,*,0.7,*,*,0.9,,,,,,,,,,,,,
,021,*,*,0.2,*,*,0.3,*,*,0.5,*,*,0.6,,,,,,,,,,,,,
,022,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,023,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,024,*,*,0.1,*,*,0.1,*,*,0.2,*,*,0.3,,,,,,,,,,,,,
03,,*,*,0.1,*,*,0.3,*,*,0.4,*,*,0.6,,,,,,,,,,,,,
,031,*,*,0.1,*,*,0.2,*,*,0.3,*,*,0.4,,,,,,,,,,,,,
,032,-,-,-,-,0.1,0.1,-,0.1,0.1,-,0.2,0.2,,,,,,,,,,,,,
05,,-,1.6,1.6,-,-,-,-,1.6,1.6,-,1.6,1.6,,,,,,,,,,,,,
,051,-,1.6,1.6,-,-,-,-,1.6,1.6,-,1.6,1.6,,,,,,,,,,,,,
,052,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
06,,-,*,*,-,*,*,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,
,061,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,062,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
07,,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,071,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,072,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
08,,-,1.3,1.3,-,0.1,0.1,-,1.4,1.4,-,1.4,1.4,,,,,,,,,,,,,
,081,-,1.2,1.2,-,0.1,0.1,-,1.4,1.4,-,1.4,1.4,,,,,,,,,,,,,
,089,-,-,-,-,-,-,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,
09,,-,0.2,0.2,-,-,-,-,0.2,0.2,-,0.2,0.2,,,,,,,,,,,,,
,091,-,0.2,0.2,-,-,-,-,0.2,0.2,-,0.2,0.2,,,,,,,,,,,,,
,099,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
10,,*,*,41.6,*,*,3.7,*,*,45.3,*,*,45.5,,,,,,,,,,,,,
,101,-,11.5,11.5,-,0.7,0.7,-,12.2,12.2,-,12.3,12.3,,,,,,,,,,,,,
,102,-,3.5,3.5,-,0.3,0.3,-,3.7,3.7,-,3.7,3.7,,,,,,,,,,,,,
,103,-,3.7,3.7,-,0.3,0.3,-,4.0,4.0,-,4.0,4.0,,,,,,,,,,,,,
,104,-,0.5,0.5,-,-,-,-,0.5,0.5,-,0.5,0.5,,,,,,,,,,,,,
,105,-,1.8,1.8,-,0.1,0.1,-,1.9,1.9,-,1.9,1.9,,,,,,,,,,,,,
,106,-,0.5,0.5,-,0.1,0.1,-,0.5,0.5,-,0.6,0.6,,,,,,,,,,,,,
,107,-,10.4,10.4,-,1.3,1.3,-,11.7,11.7,-,11.8,11.8,,,,,,,,,,,,,
,108,*,*,8.1,*,*,0.6,*,*,8.8,*,*,8.8,,,,,,,,,,,,,
,109,*,*,1.7,*,*,0.2,*,*,1.9,*,*,1.9,,,,,,,,,,,,,
11,,-,2.9,2.9,-,0.2,0.2,-,3.1,3.1,-,3.2,3.2,,,,,,,,,,,,,
,110,-,2.9,2.9,-,0.2,0.2,-,3.1,3.1,-,3.2,3.2,,,,,,,,,,,,,
12,,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,120,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
13,,-,10.3,10.3,-,2.0,2.0,-,12.3,12.3,-,12.7,12.7,,,,,,,,,,,,,
,131,-,2.4,2.4,-,0.4,0.4,-,2.8,2.8,-,2.8,2.8,,,,,,,,,,,,,
,132,-,1.7,1.7,-,0.4,0.4,-,2.1,2.1,-,2.2,2.2,,,,,,,,,,,,,
,133,-,1.3,1.3,-,0.3,0.3,-,1.7,1.7,-,1.7,1.7,,,,,,,,,,,,,
,139,-,4.8,4.8,-,0.9,0.9,-,5.7,5.7,-,5.9,5.9,,,,,,,,,,,,,
14,,-,2.8,2.8,-,0.1,0.1,-,2.9,2.9,-,3.3,3.3,,,,,,,,,,,,,
,141,-,*,*,-,*,*,-,2.8,2.8,-,3.1,3.1,,,,,,,,,,,,,
,142,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,143,-,*,*,-,*,*,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,
15,,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,151,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,152,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
16,,-,6.2,6.2,-,0.2,0.2,-,6.5,6.5,-,6.9,6.9,,,,,,,,,,,,,
,161,-,0.5,0.5,-,-,-,-,0.5,0.5,-,0.6,0.6,,,,,,,,,,,,,
,162,-,5.7,5.7,-,0.2,0.2,-,6.0,6.0,-,6.3,6.3,,,,,,,,,,,,,
17,,-,6.4,6.4,-,0.3,0.3,-,6.6,6.6,-,6.6,6.6,,,,,,,,,,,,,
,171,-,0.4,0.4,-,-,-,-,0.4,0.4,-,0.4,0.4,,,,,,,,,,,,,
,172,-,6.0,6.0,-,0.2,0.2,-,6.2,6.2,-,6.2,6.2,,,,,,,,,,,,,
18,,*,*,19.1,*,*,1.7,*,*,20.8,*,*,21.6,,,,,,,,,,,,,
,181,*,*,18.9,*,*,1.7,*,*,20.6,*,*,21.5,,,,,,,,,,,,,
,182,-,0.2,0.2,-,-,-,-,0.2,0.2,-,0.2,0.2,,,,,,,,,,,,,
19,,-,2.1,2.1,-,-,-,-,2.2,2.2,-,2.2,2.2,,,,,,,,,,,,,
,191,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,192,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
20,,-,10.0,10.0,-,0.5,0.5,-,10.6,10.6,-,10.6,10.6,,,,,,,,,,,,,
,201,-,4.2,4.2,-,0.1,0.1,-,4.3,4.3,-,4.3,4.3,,,,,,,,,,,,,
,202,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,203,-,2.3,2.3,-,0.2,0.2,-,2.5,2.5,-,2.5,2.5,,,,,,,,,,,,,
,204,-,1.9,1.9,-,0.1,0.1,-,2.0,2.0,-,2.0,2.0,,,,,,,,,,,,,
,205,-,0.6,0.6,-,-,-,-,0.7,0.7,-,0.7,0.7,,,,,,,,,,,,,
,206,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
21,,*,*,3.1,*,*,0.4,*,*,3.5,*,*,3.5,,,,,,,,,,,,,
,211,-,0.2,0.2,-,-,-,-,0.2,0.2,-,0.2,0.2,,,,,,,,,,,,,
,212,*,*,2.9,*,*,0.4,*,*,3.3,*,*,3.3,,,,,,,,,,,,,
22,,-,15.5,15.5,-,1.1,1.1,-,16.5,16.5,-,17.4,17.4,,,,,,,,,,,,,
,221,-,0.9,0.9,-,0.1,0.1,-,1.0,1.0,-,1.0,1.0,,,,,,,,,,,,,
,222,-,14.6,14.6,-,1.0,1.0,-,15.6,15.6,-,16.4,16.4,,,,,,,,,,,,,
23,,-,9.5,9.5,-,0.4,0.4,-,9.9,9.9,-,10.9,10.9,,,,,,,,,,,,,
,231,-,3.6,3.6,-,0.1,0.1,-,3.7,3.7,-,4.0,4.0,,,,,,,,,,,,,
,232,-,0.4,0.4,-,-,-,-,0.4,0.4,-,0.5,0.5,,,,,,,,,,,,,
,233,-,0.7,0.7,-,-,-,-,0.8,0.8,-,0.8,0.8,,,,,,,,,,,,,
,234,-,*,*,-,*,*,-,0.1,0.1,-,0.2,0.2,,,,,,,,,,,,,
,235,-,*,*,-,*,*,-,0.2,0.2,-,0.2,0.2,,,,,,,,,,,,,
,236,-,3.1,3.1,-,0.1,0.1,-,3.3,3.3,-,3.6,3.6,,,,,,,,,,,,,
,237,-,0.8,0.8,-,0.1,0.1,-,0.9,0.9,-,1.0,1.0,,,,,,,,,,,,,
,239,-,0.4,0.4,-,-,-,-,0.5,0.5,-,0.5,0.5,,,,,,,,,,,,,
24,,-,12.2,12.2,-,0.3,0.3,-,12.5,12.5,-,12.5,12.5,,,,,,,,,,,,,
,241,-,7.6,7.6,-,0.1,0.1,-,7.7,7.7,-,7.7,7.7,,,,,,,,,,,,,
,242,-,1.4,1.4,-,-,-,-,1.4,1.4,-,1.4,1.4,,,,,,,,,,,,,
,243,-,0.7,0.7,-,-,-,-,0.7,0.7,-,0.7,0.7,,,,,,,,,,,,,
,244,-,1.2,1.2,-,-,-,-,1.2,1.2,-,1.2,1.2,,,,,,,,,,,,,
,245,-,1.4,1.4,-,0.1,0.1,-,1.4,1.4,-,1.4,1.4,,,,,,,,,,,,,
25,,*,*,22.1,*,*,1.6,*,*,23.7,*,*,24.0,,,,,,,,,,,,,
,251,-,6.6,6.6,-,0.7,0.7,-,7.2,7.2,-,7.3,7.3,,,,,,,,,,,,,
,252,-,1.3,1.3,-,0.1,0.1,-,1.4,1.4,-,1.4,1.4,,,,,,,,,,,,,
,253,-,0.1,0.1,-,-,-,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,
,254,-,0.1,0.1,-,-,-,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,
,255,-,1.3,1.3,-,0.1,0.1,-,1.3,1.3,-,1.3,1.3,,,,,,,,,,,,,
,256,*,*,6.5,*,*,0.4,*,*,6.9,*,*,7.1,,,,,,,,,,,,,
,257,-,1.7,1.7,-,0.1,0.1,-,1.8,1.8,-,1.8,1.8,,,,,,,,,,,,,
,259,-,4.6,4.6,-,0.2,0.2,-,4.8,4.8,-,4.9,4.9,,,,,,,,,,,,,
26,,-,4.1,4.1,-,0.7,0.7,-,4.8,4.8,-,5.1,5.1,,,,,,,,,,,,,
,261,-,0.7,0.7,-,0.1,0.1,-,0.8,0.8,-,0.8,0.8,,,,,,,,,,,,,
,262,-,0.4,0.4,-,0.1,0.1,-,0.5,0.5,-,0.6,0.6,,,,,,,,,,,,,
,263,-,0.8,0.8,-,0.1,0.1,-,0.9,0.9,-,1.0,1.0,,,,,,,,,,,,,
,264,-,0.8,0.8,-,0.1,0.1,-,0.9,0.9,-,0.9,0.9,,,,,,,,,,,,,
,265,-,1.3,1.3,-,0.3,0.3,-,1.6,1.6,-,1.8,1.8,,,,,,,,,,,,,
,266,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,267,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,268,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
27,,-,8.3,8.3,-,0.8,0.8,-,9.1,9.1,-,9.1,9.1,,,,,,,,,,,,,
,271,-,3.3,3.3,-,0.3,0.3,-,3.6,3.6,-,3.6,3.6,,,,,,,,,,,,,
,272,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,273,-,0.5,0.5,-,0.1,0.1,-,0.6,0.6,-,0.6,0.6,,,,,,,,,,,,,
,274,-,2.1,2.1,-,0.3,0.3,-,2.4,2.4,-,2.4,2.4,,,,,,,,,,,,,
,275,-,1.3,1.3,-,0.1,0.1,-,1.4,1.4,-,1.4,1.4,,,,,,,,,,,,,
,279,-,1.1,1.1,-,0.1,0.1,-,1.2,1.2,-,1.2,1.2,,,,,,,,,,,,,
28,,*,*,17.0,*,*,0.7,*,*,17.7,*,*,18.0,,,,,,,,,,,,,
,281,*,*,5.6,*,*,0.2,*,*,5.8,*,*,5.9,,,,,,,,,,,,,
,282,-,6.2,6.2,-,0.3,0.3,-,6.5,6.5,-,6.6,6.6,,,,,,,,,,,,,
,283,-,0.2,0.2,-,-,-,-,0.3,0.3,-,0.3,0.3,,,,,,,,,,,,,
,284,-,1.6,1.6,-,0.1,0.1,-,1.7,1.7,-,1.7,1.7,,,,,,,,,,,,,
,289,-,3.3,3.3,-,0.1,0.1,-,3.5,3.5,-,3.6,3.6,,,,,,,,,,,,,
29,,*,*,8.4,*,*,0.3,*,*,8.7,*,*,8.7,,,,,,,,,,,,,
,291,*,*,1.0,*,*,-,*,*,1.0,*,*,1.1,,,,,,,,,,,,,
,292,-,4.1,4.1,-,0.1,0.1,-,4.2,4.2,-,4.2,4.2,,,,,,,,,,,,,
,293,-,3.4,3.4,-,0.1,0.1,-,3.4,3.4,-,3.4,3.4,,,,,,,,,,,,,
30,,-,2.0,2.0,-,0.1,0.1,-,2.1,2.1,-,2.1,2.1,,,,,,,,,,,,,
,301,-,0.2,0.2,-,-,-,-,0.2,0.2,-,0.2,0.2,,,,,,,,,,,,,
,302,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,303,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,304,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,309,-,0.1,0.1,-,-,-,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,
31,,*,*,9.0,*,*,0.6,*,*,9.6,*,*,9.6,,,,,,,,,,,,,
,310,*,*,9.0,*,*,0.6,*,*,9.6,*,*,9.6,,,,,,,,,,,,,
32,,-,7.8,7.8,-,0.4,0.4,-,8.2,8.2,-,8.7,8.7,,,,,,,,,,,,,
,321,-,0.3,0.3,-,-,-,-,0.3,0.3,-,0.4,0.4,,,,,,,,,,,,,
,322,-,-,-,-,-,-,-,-,-,-,0.1,0.1,,,,,,,,,,,,,
,323,-,0.5,0.5,-,-,-,-,0.5,0.5,-,0.5,0.5,,,,,,,,,,,,,
,324,-,0.2,0.2,-,-,-,-,0.2,0.2,-,0.2,0.2,,,,,,,,,,,,,
,325,-,4.9,4.9,-,0.3,0.3,-,5.2,5.2,-,5.4,5.4,,,,,,,,,,,,,
,329,-,1.9,1.9,-,-,-,-,1.9,1.9,-,2.2,2.2,,,,,,,,,,,,,
33,,*,*,9.7,*,*,0.4,*,*,10.1,*,*,11.1,,,,,,,,,,,,,
,331,*,*,8.4,*,*,0.3,*,*,8.8,*,*,9.7,,,,,,,,,,,,,
,332,-,1.2,1.2,-,0.1,0.1,-,1.3,1.3,-,1.5,1.5,,,,,,,,,,,,,
35,,*,*,10.3,*,*,0.9,*,*,11.1,*,*,11.1,,,,,,,,,,,,,
,351,*,*,5.9,*,*,0.3,*,*,6.2,*,*,6.2,,,,,,,,,,,,,
,352,-,4.3,4.3,-,0.6,0.6,-,4.9,4.9,-,4.9,4.9,,,,,,,,,,,,,
,353,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
36,,-,2.6,2.6,-,0.1,0.1,-,2.8,2.8,-,2.8,2.8,,,,,,,,,,,,,
,360,-,2.6,2.6,-,0.1,0.1,-,2.8,2.8,-,2.8,2.8,,,,,,,,,,,,,
37,,0.3,0.9,1.1,-,0.1,0.1,0.3,0.9,1.2,0.3,1.1,1.5,,,,,,,,,,,,,
